#Values corrected for Galactic extinction
obsid	mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err	TDE/host
00033539093	57526.69	18.97	0.13	3.91e-16	4.58e-17	1.21
00033539094	57542.65	19.40	0.16	2.63e-16	3.94e-17	0.81
00033539095	57545.46	19.24	0.25	3.03e-16	6.99e-17	0.94
00033539096	57546.37	19.28	0.16	2.94e-16	4.38e-17	0.91
00033539097	57550.10	19.14	0.13	3.35e-16	4.17e-17	1.04
00033539098	57554.35	19.03	0.12	3.70e-16	4.16e-17	1.15
00033539099	57718.01	19.08	0.12	3.51e-16	3.91e-17	1.09
00033539100	57819.60	19.30	0.26	2.87e-16	6.96e-17	0.89
00033539101	57820.40	19.30	0.15	2.87e-16	3.99e-17	0.89
00033539102	57821.94	19.23	0.16	3.06e-16	4.47e-17	0.95
00033539103	57826.84	18.99	0.13	3.84e-16	4.72e-17	1.19
00033539104	57828.56	19.28	0.20	2.92e-16	5.51e-17	0.90
00033539105	57833.49	19.09	0.19	3.50e-16	6.03e-17	1.08
00033539106	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00094094001	58223.03	19.36	0.18	2.72e-16	4.53e-17	0.84
00094094002	58223.21	19.41	0.15	2.59e-16	3.53e-17	0.80
00094094003	58223.35	19.30	0.14	2.88e-16	3.65e-17	0.89
00094094004	58223.48	19.18	0.13	3.22e-16	3.77e-17	1.00
00094094005	58223.68	19.37	0.15	2.69e-16	3.67e-17	0.83
00094094006	58223.81	19.29	0.13	2.90e-16	3.57e-17	0.90
00094094007	58223.95	19.23	0.13	3.06e-16	3.67e-17	0.95
00094094009	58224.14	19.26	0.13	2.98e-16	3.69e-17	0.92
00094094010	58224.28	19.49	0.16	2.41e-16	3.48e-17	0.75
00094094011	58224.41	19.40	0.14	2.63e-16	3.48e-17	0.81
00094094012	58224.54	19.56	0.17	2.26e-16	3.46e-17	0.70
00094094013	58224.67	19.40	0.15	2.63e-16	3.54e-17	0.81
00094094014	58224.81	19.43	0.15	2.55e-16	3.48e-17	0.79
00094094015	58224.95	19.44	0.18	2.53e-16	4.13e-17	0.78
00094094017	58225.15	19.26	0.13	2.99e-16	3.62e-17	0.93
00094094018	58225.28	19.82	0.19	1.79e-16	3.10e-17	0.55
00094094019	58225.41	19.33	0.13	2.81e-16	3.45e-17	0.87
00094094020	58225.54	19.36	0.14	2.73e-16	3.41e-17	0.85
00094094021	58225.67	19.37	0.16	2.69e-16	3.85e-17	0.83
00094094022	58225.81	19.44	0.15	2.52e-16	3.47e-17	0.78
00094094023	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00095140001	58575.06	19.45	0.19	2.50e-16	4.35e-17	0.77
00095140002	58582.68	19.58	0.19	2.22e-16	3.98e-17	0.69
00095140003	58585.81	19.88	0.25	1.69e-16	3.85e-17	0.52
00095140004	58589.40	19.25	0.15	3.01e-16	4.29e-17	0.93
00095140005	58596.23	19.72	0.22	1.96e-16	3.92e-17	0.61
00095140006	58603.28	19.46	0.22	2.49e-16	4.93e-17	0.77
00095140007	58610.11	19.73	0.21	1.94e-16	3.74e-17	0.60
00095140008	58616.55	20.03	0.27	1.47e-16	3.61e-17	0.46
00096017001	59550.10	19.57	0.14	2.25e-16	2.96e-17	0.70
00096575001	59896.76	19.92	0.28	1.62e-16	4.17e-17	0.50
00096575002	59926.38	20.00	0.29	1.51e-16	4.01e-17	0.47
00096575003	59956.07	19.71	0.29	1.98e-16	5.37e-17	0.61
00096575004	59958.85	20.64	0.53	8.40e-17	4.07e-17	0.26
00097657001	60535.02	19.87	0.44	1.71e-16	6.99e-17	0.53
