#Values corrected for Galactic extinction
obsid	mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err	TDE/host
00033539093	57526.70	19.39	0.09	3.78e-16	3.20e-17	1.77
00033539094	57542.65	19.19	0.10	4.56e-16	4.11e-17	2.13
00033539095	57545.45	19.44	0.21	3.62e-16	6.98e-17	1.69
00033539096	57546.36	19.31	0.12	4.09e-16	4.36e-17	1.91
00033539097	57550.09	19.51	0.12	3.38e-16	3.63e-17	1.58
00033539098	57554.34	19.47	0.11	3.52e-16	3.50e-17	1.64
00033539099	57718.00	19.39	0.10	3.78e-16	3.32e-17	1.77
00033539100	57819.60	19.45	0.16	3.58e-16	5.35e-17	1.67
00033539101	57820.41	19.37	0.11	3.86e-16	3.96e-17	1.80
00033539102	57821.94	19.38	0.10	3.83e-16	3.61e-17	1.79
00033539103	57826.85	19.49	0.10	3.46e-16	3.21e-17	1.62
00033539104	57828.57	19.38	0.12	3.84e-16	4.24e-17	1.79
00033539105	57833.50	19.33	0.12	4.01e-16	4.42e-17	1.87
00033539106	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00094094001	58223.02	19.44	0.12	3.62e-16	4.14e-17	1.69
00094094002	58223.21	19.49	0.12	3.45e-16	3.68e-17	1.61
00094094003	58223.34	19.49	0.12	3.45e-16	3.68e-17	1.61
00094094004	58223.47	19.69	0.13	2.88e-16	3.47e-17	1.35
00094094005	58223.67	19.43	0.11	3.65e-16	3.86e-17	1.71
00094094006	58223.81	19.55	0.12	3.27e-16	3.61e-17	1.53
00094094007	58223.95	19.27	0.10	4.22e-16	3.98e-17	1.97
00094094009	58224.14	19.57	0.12	3.20e-16	3.61e-17	1.50
00094094010	58224.27	19.58	0.12	3.17e-16	3.60e-17	1.48
00094094011	58224.40	19.68	0.13	2.91e-16	3.50e-17	1.36
00094094012	58224.54	19.56	0.12	3.24e-16	3.67e-17	1.51
00094094013	58224.67	19.68	0.13	2.89e-16	3.47e-17	1.35
00094094014	58224.80	19.57	0.12	3.21e-16	3.62e-17	1.50
00094094015	58224.95	19.70	0.17	2.84e-16	4.40e-17	1.33
00094094017	58225.14	19.87	0.15	2.43e-16	3.32e-17	1.14
00094094018	58225.27	20.00	0.16	2.15e-16	3.21e-17	1.00
00094094019	58225.40	19.63	0.13	3.03e-16	3.53e-17	1.42
00094094020	58225.54	19.77	0.14	2.67e-16	3.36e-17	1.25
00094094021	58225.67	19.53	0.15	3.34e-16	4.48e-17	1.56
00094094022	58225.80	19.47	0.11	3.53e-16	3.72e-17	1.65
00094094023	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00095140001	58575.07	19.76	0.17	2.70e-16	4.12e-17	1.26
00095140002	58582.75	19.85	0.33	2.47e-16	7.54e-17	1.15
00095140003	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00095140004	58589.41	19.66	0.14	2.96e-16	3.91e-17	1.38
00095140005	58596.23	19.87	0.16	2.44e-16	3.56e-17	1.14
00095140006	58603.29	19.55	0.19	3.27e-16	5.68e-17	1.53
00095140007	58610.12	19.85	0.15	2.47e-16	3.44e-17	1.15
00095140008	58616.56	19.83	0.15	2.53e-16	3.40e-17	1.18
00096017001	59550.12	20.04	0.12	2.09e-16	2.34e-17	0.98
00096575001	59896.78	20.48	0.28	1.39e-16	3.64e-17	0.65
00096575002	59926.40	21.01	0.41	8.50e-17	3.22e-17	0.40
00096575003	59956.08	19.93	0.25	2.30e-16	5.39e-17	1.07
00096575004	59958.86	20.22	0.27	1.77e-16	4.41e-17	0.83
00097657001	60535.03	21.00	0.84	8.60e-17	6.66e-17	0.40
