#Values corrected for Galactic extinction
obsid	mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err	TDE/host
00033539001	56991.43	15.76	0.03	1.24e-14	3.86e-16	63.29
00033539002	56993.88	16.03	0.03	9.73e-15	3.04e-16	49.66
00033539003	56995.28	15.84	0.03	1.15e-14	3.54e-16	58.69
00033539004	56998.23	16.00	0.04	1.00e-14	3.26e-16	51.04
00033539005	57001.60	16.15	0.03	8.69e-15	2.73e-16	44.36
00033539006	57004.13	16.03	0.04	9.68e-15	3.25e-16	49.41
00033539007	57007.26	16.18	0.03	8.43e-15	2.66e-16	43.03
00033539008	57010.80	16.31	0.03	7.48e-15	2.38e-16	38.18
00033539009	57013.06	16.27	0.03	7.75e-15	2.46e-16	39.56
00033539010	57016.06	16.40	0.03	6.89e-15	2.22e-16	35.17
00033539011	57019.51	16.48	0.03	6.38e-15	2.05e-16	32.57
00033539012	57022.71	16.52	0.04	6.16e-15	2.01e-16	31.45
00033539014	57029.32	16.83	0.04	4.62e-15	1.52e-16	23.59
00033539015	57033.11	16.77	0.04	4.89e-15	1.82e-16	24.97
00033539016	57036.05	16.96	0.04	4.10e-15	1.47e-16	20.94
00033539017	57039.03	16.92	0.04	4.28e-15	1.47e-16	21.86
00033539018	57042.23	16.97	0.04	4.08e-15	1.49e-16	20.84
00033539019	57045.56	17.19	0.04	3.34e-15	1.23e-16	17.06
00033539020	57048.75	17.19	0.04	3.33e-15	1.21e-16	17.01
00033539021	57051.47	17.03	0.04	3.86e-15	1.35e-16	19.71
00033539022	57054.00	17.07	0.04	3.71e-15	1.29e-16	18.95
00033539023	57057.53	17.14	0.04	3.49e-15	1.23e-16	17.83
00033539024	57059.80	17.13	0.04	3.53e-15	1.27e-16	18.03
00033539025	57065.78	17.14	0.04	3.49e-15	1.27e-16	17.83
00033539026	57068.78	17.65	0.05	2.18e-15	9.66e-17	11.14
00033539027	57071.71	17.28	0.04	3.06e-15	1.12e-16	15.63
00033539028	57074.85	17.32	0.04	2.94e-15	1.08e-16	15.02
00033539029	57077.57	17.37	0.04	2.83e-15	1.07e-16	14.46
00033539030	57080.89	17.48	0.04	2.55e-15	9.59e-17	13.03
00033539032	57086.88	17.63	0.04	2.21e-15	9.03e-17	11.30
00033539033	57089.35	17.73	0.04	2.03e-15	8.00e-17	10.38
00033539034	57099.39	17.86	0.05	1.80e-15	8.69e-17	9.20
00033539035	57102.39	17.96	0.05	1.63e-15	6.86e-17	8.34
00033539036	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00033539037	57108.77	18.00	0.05	1.57e-15	6.59e-17	8.03
00033539038	57111.90	18.08	0.05	1.47e-15	6.16e-17	7.52
00033539039	57114.09	18.06	0.05	1.49e-15	6.91e-17	7.62
00033539040	57117.69	18.14	0.05	1.39e-15	6.69e-17	7.11
00033539041	57120.29	18.25	0.05	1.25e-15	5.74e-17	6.40
00033539042	57123.55	18.23	0.05	1.27e-15	5.76e-17	6.50
00033539043	57126.14	18.29	0.05	1.20e-15	5.39e-17	6.14
00033539045	57129.20	18.34	0.06	1.15e-15	5.97e-17	5.89
00033539046	57132.46	18.28	0.05	1.22e-15	6.13e-17	6.24
00033539047	57136.12	18.32	0.06	1.17e-15	6.75e-17	5.99
00033539048	57139.32	18.24	0.05	1.26e-15	5.77e-17	6.45
00033539049	57147.57	18.43	0.05	1.06e-15	5.02e-17	5.43
00033539050	57150.23	18.43	0.05	1.06e-15	4.88e-17	5.43
00033539051	57153.42	18.45	0.05	1.04e-15	4.91e-17	5.33
00033539052	57156.35	18.41	0.06	1.08e-15	5.62e-17	5.53
00033539053	57173.04	18.50	0.06	9.94e-16	5.08e-17	5.07
00033539054	57176.10	18.58	0.06	9.24e-16	4.96e-17	4.71
00033539055	57179.36	18.55	0.13	9.54e-16	1.13e-16	4.87
00033539056	57182.10	18.76	0.08	7.84e-16	5.59e-17	4.00
00033539057	57185.97	18.64	0.06	8.74e-16	4.93e-17	4.46
00033539058	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00033539059	57191.81	18.71	0.06	8.24e-16	4.41e-17	4.20
00033539060	57194.66	18.66	0.06	8.64e-16	4.52e-17	4.41
00033539061	57200.39	18.68	0.07	8.44e-16	5.48e-17	4.31
00033539062	57203.77	18.77	0.06	7.76e-16	4.50e-17	3.96
00033539063	57226.25	18.69	0.06	8.34e-16	4.63e-17	4.26
00033539064	57230.38	18.74	0.08	7.96e-16	5.72e-17	4.06
00033539065	57236.36	18.76	0.06	7.87e-16	4.30e-17	4.02
00033539066	57238.82	18.74	0.06	8.02e-16	4.37e-17	4.09
00033539067	57242.09	18.73	0.06	8.04e-16	4.21e-17	4.10
00033539068	57246.87	18.67	0.06	8.54e-16	4.45e-17	4.36
00033539069	57340.71	18.83	0.06	7.38e-16	4.16e-17	3.77
00033539070	57351.82	18.94	0.07	6.62e-16	4.48e-17	3.38
00033539071	57354.67	19.32	0.08	4.70e-16	3.27e-17	2.40
00033539072	57357.33	19.00	0.06	6.30e-16	3.74e-17	3.21
00033539073	57360.19	19.13	0.07	5.59e-16	3.69e-17	2.85
00033539074	57363.92	19.09	0.07	5.79e-16	3.58e-17	2.95
00033539075	57366.91	19.14	0.07	5.51e-16	3.50e-17	2.81
00033539076	57369.84	19.01	0.06	6.24e-16	3.70e-17	3.18
00033539077	57372.22	19.17	0.07	5.40e-16	3.60e-17	2.76
00033539078	57375.55	19.07	0.07	5.89e-16	3.94e-17	3.01
00033539079	57378.14	18.95	0.08	6.59e-16	4.58e-17	3.36
00033539080	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00033539082	57411.45	19.03	0.08	6.09e-16	4.40e-17	3.11
00033539084	57417.49	19.18	0.08	5.32e-16	3.69e-17	2.71
00033539085	57423.00	19.23	0.10	5.07e-16	4.89e-17	2.59
00033539086	57426.47	19.67	0.44	3.39e-16	1.38e-16	1.73
00033539087	57427.73	19.08	0.07	5.82e-16	3.76e-17	2.97
00033539088	57429.67	19.06	0.10	5.96e-16	5.69e-17	3.04
00033539089	57432.79	19.09	0.07	5.81e-16	4.00e-17	2.96
00033539090	57435.72	19.10	0.07	5.74e-16	3.78e-17	2.93
00033539091	57519.78	19.09	0.08	5.78e-16	4.18e-17	2.95
00033539092	57522.51	19.09	0.08	5.78e-16	4.10e-17	2.95
00033539093	57526.69	19.18	0.08	5.33e-16	4.08e-17	2.72
00033539094	57542.65	19.04	0.07	6.06e-16	4.06e-17	3.09
00033539095	57545.46	18.98	0.12	6.42e-16	6.84e-17	3.28
00033539096	57546.37	19.03	0.08	6.10e-16	4.32e-17	3.11
00033539097	57550.10	19.00	0.07	6.29e-16	4.07e-17	3.21
00033539098	57554.35	19.11	0.07	5.68e-16	3.79e-17	2.90
00033539099	57718.02	19.15	0.07	5.46e-16	3.49e-17	2.79
00033539100	57819.60	19.30	0.15	4.76e-16	6.64e-17	2.43
00033539101	57820.40	19.10	0.08	5.74e-16	4.08e-17	2.93
00033539102	57821.94	19.11	0.09	5.66e-16	4.48e-17	2.89
00033539103	57826.85	19.10	0.08	5.74e-16	4.42e-17	2.93
00033539104	57828.57	19.02	0.10	6.15e-16	5.77e-17	3.14
00033539105	57833.50	19.30	0.12	4.76e-16	5.45e-17	2.43
00033539106	60117.19	19.68	0.08	3.37e-16	2.45e-17	1.72
00094094001	58223.02	19.37	0.10	4.49e-16	4.18e-17	2.29
00094094002	58223.20	19.28	0.09	4.86e-16	3.95e-17	2.48
00094094003	58223.33	19.33	0.09	4.65e-16	3.88e-17	2.37
00094094004	58223.47	19.36	0.09	4.50e-16	3.82e-17	2.30
00094094005	58223.67	19.30	0.09	4.78e-16	4.03e-17	2.44
00094094006	58223.80	19.30	0.09	4.77e-16	3.92e-17	2.43
00094094007	58223.94	19.31	0.09	4.72e-16	3.94e-17	2.41
00094094009	58224.13	19.47	0.10	4.09e-16	3.70e-17	2.09
00094094010	58224.26	19.41	0.09	4.33e-16	3.77e-17	2.21
00094094011	58224.40	19.38	0.09	4.42e-16	3.82e-17	2.26
00094094012	58224.53	19.31	0.09	4.72e-16	3.97e-17	2.41
00094094013	58224.66	19.31	0.09	4.74e-16	3.91e-17	2.42
00094094014	58224.80	19.34	0.09	4.59e-16	3.88e-17	2.34
00094094015	58224.94	19.27	0.11	4.91e-16	4.86e-17	2.51
00094094017	58225.13	19.31	0.09	4.71e-16	3.90e-17	2.40
00094094018	58225.27	19.48	0.10	4.04e-16	3.64e-17	2.06
00094094019	58225.40	19.46	0.10	4.13e-16	3.69e-17	2.11
00094094020	58225.53	19.36	0.09	4.51e-16	3.78e-17	2.30
00094094021	58225.66	19.31	0.11	4.73e-16	4.69e-17	2.41
00094094022	58225.79	19.27	0.09	4.89e-16	3.98e-17	2.49
00094094023	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00095140001	58575.07	19.51	0.10	3.92e-16	3.69e-17	2.00
00095140002	58582.75	19.73	0.22	3.20e-16	6.61e-17	1.63
00095140003	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00095140004	58589.41	19.49	0.10	4.01e-16	3.52e-17	2.05
00095140005	58596.23	19.58	0.10	3.67e-16	3.43e-17	1.87
00095140006	58603.28	19.32	0.12	4.67e-16	5.15e-17	2.38
00095140007	58610.11	19.47	0.09	4.07e-16	3.43e-17	2.08
00095140008	58616.56	19.37	0.09	4.48e-16	3.62e-17	2.29
00096017001	59550.11	19.74	0.08	3.19e-16	2.37e-17	1.63
00096575001	59896.77	19.84	0.13	2.91e-16	3.42e-17	1.48
00096575002	59926.39	20.41	0.19	1.71e-16	2.97e-17	0.87
00096575003	59956.07	19.74	0.15	3.19e-16	4.51e-17	1.63
00096575004	59958.86	19.48	0.11	4.05e-16	4.18e-17	2.07
00097657001	60535.03	19.66	0.18	3.41e-16	5.74e-17	1.74
